Year,Month,Total,Residential,Commercial,Industrial,Transportation,,,,
2019,1,323507,133011,111433,78390,673,,,,
2019,2,291066,116249,101547,72568,702,,,,
2019,3,296916,112140,106889,77198,689,,,,
2019,4,268851,89864,101960,76413,614,,,,
2019,5,291967,99810,110889,80657,611,,,,
2019,6,316087,119519,115338,80618,612,,,,
2019,7,370272,153141,130429,86057,646,,,,
2020,1,309544,123731,107715,77384,714,,,,
2020,2,290248,111963,102038,75626,621,,,,
2020,3,285019,103973,102933,77509,604,,,,
2020,4,257958,97440,90587,69480,451,,,,
2020,5,270325,105345,93332,71195,452,,,,
2020,6,315608,131248,108654,75225,481,,,,